Date,First Team,First Innings Score,Second Team,Second Innings Score,Match_Number,Stadium,Winning_team,won_by
"Wed, Apr 17 - 7:00 PM",GT,"89/10, (20 ov)",DC,"92/4 , (20 ov)",32nd T20,Narendra Modi Stadium • Ahmedabad , Delhi Capitals , 6 wickets 
" Tue, Apr 16 - 7:00 PM ", KKR ," 223/6, (20 ov) ", RR ," 224/8, (20 ov) ", 31st T20,Eden Gardens • Kolkata , Rajasthan Royals , 2 wickets 
" Mon, Apr 15 - 7:00 PM ", SRH ," 287/3, (20 ov) ", RCB ," 262/7, (20 ov) ", 30th T20,M.Chinnaswamy Stadium • Bengaluru , Sunrisers Hyderabad , 25 runs. 
" Sun, Apr 14 - 7:00 PM ", CSK ," 206/4, (20 ov) ", MI ," 186/6, (20 ov) ", 29th T20,Wankhede Stadium • Mumbai , Chennai Super Kings , 20 runs. 
" Sun, Apr 14 - 3:00 PM ", LSG ," 161/7, (20 ov) ", KKR ," 162/2, (15.4 ov) ", 28th T20,Eden Gardens • Kolkata , Kolkata Knight Riders , 8 wickets 
" Sat, Apr 13 - 7:00 PM ", PBKS ," 147/8, (20 ov) ", RR ," 152/7, (19.5 ov) ", 27th T20,Maharaja Yadavindra Singh International Cricket Stadium • Chandigarh , Rajasthan Royals , 3 wickets 
" Fri, Apr 12 - 7:00 PM ", LSG ," 167/7, (20 ov) ", DC ," 170/4, (18.1 ov) ", 26th T20,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium • Lucknow , Delhi Capitals , 6 wickets 
" Thu, Apr 11 - 7:00 PM ", RCB ," 196/8, (20 ov) ", MI ," 199/3, (15.3 ov) ", 25th T20,Wankhede Stadium • Mumbai , Mumbai Indians , 7 wickets 
" Wed, Apr 10 - 7:00 PM ", RR ," 196/3, (20 ov) ", GT ," 199/7, (20 ov) ", 24th T20,Sawai Mansingh Stadium • Jaipur , Gujarat Titans , 3 wickets 
" Tue, Apr 9 - 7:00 PM ", SRH ," 182/9, (20 ov) ", PBKS ," 180/6, (20 ov) ", 23rd T20,Maharaja Yadavindra Singh International Cricket Stadium • Chandigarh , Sunrisers Hyderabad , 2 runs. 
" Mon, Apr 8 - 7:00 PM ", KKR ," 137/9, (20 ov) ", CSK ," 141/3, (17.4 ov) ", 22nd T20,MA Chidambaram Stadium • Chennai , Chennai Super Kings , 7 wickets 
" Sun, Apr 7 - 7:00 PM ", LSG ," 163/5, (20 ov) ", GT ," 130/10, (18.5 ov) ", 21st T20,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium • Lucknow , Lucknow Super Giants , 33 runs. 
" Sun, Apr 7 - 3:00 PM ", MI ," 234/5, (20 ov) ", DC ," 205/8, (20 ov) ", 20th T20,Wankhede Stadium • Mumbai , Mumbai Indians , 29 runs. 
" Sat, Apr 6 - 7:00 PM ", RCB ," 183/3, (20 ov) ", RR ," 189/4, (19.1 ov) ", 19th T20,Sawai Mansingh Stadium • Jaipur , Rajasthan Royals , 6 wickets 
" Fri, Apr 5 - 7:00 PM ", CSK ," 165/5, (20 ov) ", SRH ," 166/4, (18.1 ov) ", 18th T20,Rajiv Gandhi International Stadium • Hyderabad , Sunrisers Hyderabad , 6 wickets 
" Thu, Apr 4 - 7:00 PM ", GT ," 199/4, (20 ov) ", PBKS ," 200/7, (19.5 ov) ", 17th T20,Narendra Modi Stadium • Ahmedabad , Punjab Kings , 3 wickets 
" Wed, Apr 3 - 7:00 PM ", KKR ," 272/7, (20 ov) ", DC ," 166/10, (17.2 ov) ", 16th T20,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium • Visakhapatnam , Kolkata Knight Riders , 106 runs. 
" Tue, Apr 2 - 7:00 PM ", LSG ," 181/5, (20 ov) ", RCB ," 153/10, (19.4 ov) ", 15th T20,M.Chinnaswamy Stadium • Bengaluru , Lucknow Super Giants , 28 runs. 
