Players,Team,Type,Base,Sold
Virat Kohli,RCB,BAT,-,21.00
Rajat Patidar,RCB,BAT,-,11.00
Yash Dayal,RCB,BOWL,-,5.00
Jasprit Bumrah,MI,BOWL,-,18.00
Suryakumar Yadav,MI,BAT,-,16.35
Hardik Pandya,MI,AR,-,16.35
Rohit Sharma,MI,BAT,-,16.30
Tilak Varma,MI,AR,-,8.00
Heinrich Klaasen,SRH,BAT,-,23.00
Pat Cummins,SRH,AR,-,18.00
Abhishek Sharma,SRH,AR,-,14.00
Travis Head,SRH,BAT,-,14.00
Nitish Kumar Reddy,SRH,AR,-,6.00
Ruturaj Gaikwad,CSK,BAT,-,18.00
Ravindra Jadeja,CSK,AR,-,18.00
Matheesha Pathirana,CSK,BOWL,-,13.00
Shivam Dube,CSK,AR,-,12.00
MS Dhoni,CSK,BAT,-,4.00
Axar Patel,DC,AR,-,16.50
Kuldeep Yadav,DC,BOWL,-,13.25
Tristan Stubbs,DC,BAT,-,10.00
Abishek Porel,DC,BAT,-,4.00
Rinku Singh,KKR,BAT,-,13.00
Varun Chakravarthy,KKR,AR,-,12.00
Sunil Narine,KKR,BOWL,-,12.00
Andre Russell,KKR,AR,-,12.00
Harshit Rana,KKR,BOWL,-,4.00
Ramandeep Singh,KKR,AR,-,4.00
Sanju Samson,RR,BAT,-,18.00
Yashasvi Jaiswal,RR,AR,-,18.00
Riyan Parag,RR,AR,-,14.00
Dhruv Jurel,RR,BAT,-,14.00
Shimron Hetmyer,RR,BAT,-,11.00
Sandeep Sharma,RR,BOWL,-,4.00
Rashid Khan,GT,BOWL,-,18.00
Shubman Gill,GT,BAT,-,16.50
Sai Sudharsan,GT,AR,-,8.50
Rahul Tewatia,GT,AR,-,4.00
M Shahrukh Khan,GT,AR,-,4.00
Nicholas Pooran,LSG,BAT,-,21.00
Ravi Bishnoi,LSG,BOWL,-,11.00
Mayank Yadav,LSG,BOWL,-,11.00
Mohsin Khan,LSG,BOWL,-,4.00
Ayush Badoni,LSG,AR,-,4.00
Shashank Singh,PBKS,AR,-,5.50
Prabhsimran Singh,PBKS,BAT,-,4.00
Jos Buttler,GT,BAT,2.00,15.75
Shreyas Iyer,PBKS,BAT,2.00,26.75
Rishabh Pant,LSG,BAT,2.00,27.00
Kagiso Rabada,GT,BOWL,2.00,10.75
Arshdeep Singh,PBKS,BOWL,2.00,18.00
Mitchell Starc,DC,BOWL,2.00,11.75
Yuzvendra Chahal,PBKS,BOWL,2.00,18.00
Liam Livingstone,RCB,AR,2.00,8.75
David Miller,LSG,BAT,1.50,7.50
KL Rahul,DC,BAT,2.00,14.00
Mohammed Shami,SRH,BOWL,2.00,10.00
Mohammed Siraj,GT,BOWL,2.00,12.25
Harry Brook,DC,BAT,2.00,6.25
Devon Conway,CSK,BAT,2.00,6.25
Jake Fraser-McGurk,DC,BAT,2.00,9.00
Aiden Markram,LSG,BAT,2.00,2.00
Devdutt Padikkal,RCB,BAT,2.00,2.00
Rahul Tripathi,CSK,BAT,0.75,3.40
David Warner,-,BAT,2.00,Unsold
Ravichandran Ashwin,CSK,AR,2.00,9.75
Venkatesh Iyer,KKR,AR,2.00,23.75
Mitchell Marsh,LSG,AR,2.00,3.40
Glenn Maxwell,PBKS,AR,2.00,4.20
Harshal Patel,SRH,AR,2.00,8.00
Rachin Ravindra,CSK,AR,1.50,4.00
Marcus Stoinis,PBKS,AR,2.00,11.00
Jonny Bairstow,-,BAT,2.00,Unsold
Quinton de Kock,KKR,BAT,2.00,3.60
Rahmanullah Gurbaz,KKR,BAT,2.00,2.00
Ishan Kishan,SRH,BAT,2.00,11.25
